plant,signal,metric,device,device_type,device_uuid,device_parent,signal_uuid
Florida,energia_exportada,exported_energy,meter,meter,91f9bca0-c82a-4876-b1b1-635f2515e998,,f24218a8-9900-4caa-9f9a-87312661be96
Florida,energia_importada,,meter,meter,91f9bca0-c82a-4876-b1b1-635f2515e998,,0b8e9921-651f-44c6-b01d-79647a535604
Florida,energia_reactiva_Q1,,meter,meter,91f9bca0-c82a-4876-b1b1-635f2515e998,,c7beaa8f-3a85-42b2-9f2b-467ece45d663
Florida,energia_reactiva_Q2,,meter,meter,91f9bca0-c82a-4876-b1b1-635f2515e998,,7a1d7eb1-0a5e-415d-8c86-6860fa02b862
Florida,energia_reactiva_Q3,,meter,meter,91f9bca0-c82a-4876-b1b1-635f2515e998,,75664cf4-79bf-42b1-a511-8e068c1754b8
Florida,energia_reactiva_Q4,,meter,meter,91f9bca0-c82a-4876-b1b1-635f2515e998,,2df182f8-ce0d-409f-bf8a-00282f8a1569
Florida,Vr_MT,,meter,meter,91f9bca0-c82a-4876-b1b1-635f2515e998,,8e3cb1f5-6dbc-4ee0-8cee-6ea4dd393a1c
Florida,Vs_MT,,meter,meter,91f9bca0-c82a-4876-b1b1-635f2515e998,,19427860-0cbc-4961-b3fd-590e66c245d9
Florida,Vt_MT,,meter,meter,91f9bca0-c82a-4876-b1b1-635f2515e998,,574150ce-043f-44d2-b8c2-4e59e9521b40
Florida,comunicacio_ok,,meter,meter,91f9bca0-c82a-4876-b1b1-635f2515e998,,7421d773-4777-46e0-b785-a4bbfa8b073a
Florida,potencia_alterna_R,,inverter1,inverter,13427caf-c0de-4a83-b68a-56d8caf91b80,,05d48f44-e6f8-4f34-9064-8a86e86349d5
Florida,potencia_alterna_S,,inverter1,inverter,13427caf-c0de-4a83-b68a-56d8caf91b80,,c776b847-7040-463e-bf8b-53f2ba5b4885
Florida,potencia_alterna_T,,inverter1,inverter,13427caf-c0de-4a83-b68a-56d8caf91b80,,c38a091e-15fa-4912-9b15-bb7031fff808
Florida,energia_total,,inverter1,inverter,13427caf-c0de-4a83-b68a-56d8caf91b80,,cf74facb-fd52-48bc-ade1-3dd620912ff6
Florida,temperatura_mitjana,,inverter1,inverter,13427caf-c0de-4a83-b68a-56d8caf91b80,,ea379032-32ef-459d-a6ac-07bd543290c5
Florida,intensitat,,stringbox_SCB11,string,7d384bfd-20c7-4256-9675-55f1e3351bc0,inverter1,ca082c4c-edd8-458f-9dca-b3c3bd34af7a
Florida,intensitat,,stringbox_SCB12,string,7e89cadc-dba4-4970-8042-efb4022e8154,inverter1,d92a5db6-7257-4611-8e8a-c312ad096eaa
Florida,intensitat,,stringbox_SCB13,string,eaec73d5-2689-4729-be82-9d2b7f94225d,inverter1,c6b8a7a7-f35c-4719-a40b-274a47ab5bb5
Florida,intensitat,,stringbox_SCB14,string,41183ed3-ac68-4ff0-94e6-b10b699919bf,inverter1,e63bfecd-bac0-45c1-99ad-b93b9f39f1d7
Florida,intensitat,,stringbox_SCB15,string,962b055d-ff8b-45fa-9038-c423f85beb52,inverter1,038cfc03-fd8f-445d-a8c2-316b81314c46
Florida,intensitat,,stringbox_SCB16,string,0909ef12-6d18-4142-9e4e-7575b481a6d3,inverter1,070e1cf2-57c6-46e7-8a4a-f1dd6885ebae
Florida,intensitat,,stringbox_SCB17,string,6f78a829-cd32-4c85-be95-88a8d58ec2c2,inverter1,97b2c6d1-3db1-4f68-8f68-fbd20cc3e92a
Florida,intensitat,,stringbox_SCB18,string,5d4716d9-d422-4ea9-946c-6f5688249c06,inverter1,d41cd1b5-d115-407b-8049-489fb81d21ac
Florida,intensitat,,stringbox_SCB19,string,6d5bb460-182f-4271-9dba-f280ae6523ac,inverter1,269bf3ce-2f1e-4795-a2e6-e90ebfc10203
Florida,comunicacio_ok,,inverter1,inverter,13427caf-c0de-4a83-b68a-56d8caf91b80,,40ca7326-bb69-4949-9be0-eedf858e0886
Florida,potencia_alterna_R,,inverter2,inverter,c137a935-6049-427c-9ebd-b1e2a994b364,,a3d7262a-0ff6-4d06-8339-2d8b2a1cce66
Florida,potencia_alterna_S,,inverter2,inverter,c137a935-6049-427c-9ebd-b1e2a994b364,,9d318e09-2775-4e2e-84de-250b27d3334a
Florida,potencia_alterna_T,,inverter2,inverter,c137a935-6049-427c-9ebd-b1e2a994b364,,84a20c6a-5272-437a-9bb2-0d41f7165854
Florida,energia_total,,inverter2,inverter,c137a935-6049-427c-9ebd-b1e2a994b364,,e3fbd161-d9c1-445a-9e36-c384047b6973
Florida,temperatura_mitjana,,inverter2,inverter,c137a935-6049-427c-9ebd-b1e2a994b364,,13c65266-5d38-4aae-9978-55f85f969ea0
Florida,intensitat,,stringbox_SCB21,string,c47aca12-e61d-4fe0-b41b-d39c660f78a1,inverter2,ea6d1af7-f49f-432d-ae30-ff7a6860dac9
Florida,intensitat,,stringbox_SCB22,string,0ed33781-8f95-4e0d-a2f8-0d37886d2302,inverter2,aa968603-7537-4d81-9cad-39070243fe08
Florida,intensitat,,stringbox_SCB23,string,31f323dc-9528-4616-9791-0b79ff8e7d94,inverter2,89c4623d-dd0b-4d9b-b4bd-d87a2021c0a4
Florida,intensitat,,stringbox_SCB24,string,0d959dd5-58f6-4538-a9a5-94236e3e85f4,inverter2,f4883809-539c-4c90-8513-ceff1bb07e67
Florida,intensitat,,stringbox_SCB25,string,77a8789f-6531-4596-8cb7-6d0257b0e640,inverter2,c7e770e4-6450-4412-9a4f-90209a3eb46a
Florida,intensitat,,stringbox_SCB26,string,e0bc2c23-1992-4c12-8191-7038b3b00fa1,inverter2,c5d5bf26-5485-4d36-b8dc-9a9c0712a73e
Florida,intensitat,,stringbox_SCB27,string,ff7cfe8d-2c3c-45e9-9d43-1b77919ae5bc,inverter2,5a3da05d-f369-48a9-8b83-fd533e2a0ad2
Florida,intensitat,,stringbox_SCB28,string,0b22abd3-94ff-45f3-93ad-1868d3523f6f,inverter2,86a77c1a-badb-4c0f-a31e-55e4ea3d5e2a
Florida,intensitat,,stringbox_SCB29,string,9c0211cc-9ef3-4468-aed4-1d9fb079fa34,inverter2,3a379a17-79a0-4bb2-adec-5d879c20ce05
Florida,comunicacio_ok,,inverter2,inverter,c137a935-6049-427c-9ebd-b1e2a994b364,,b5a2d3cb-98ad-493c-afe3-e4fc1cc7fc71
Florida,temperatura_panell,,estacio_meteorologica1,sensor,a6b23472-5cd4-4e28-831b-f4ae9dd57619,,c8388044-8780-4c2e-a98e-6cffe6b21bf2
Florida,irradiacio_sonda,irradiance,estacio_meteorologica1,sensor,a6b23472-5cd4-4e28-831b-f4ae9dd57619,,7689a364-c123-4066-bb9f-21207420061c
Florida,temperatura_ambient,,estacio_meteorologica1,sensor,a6b23472-5cd4-4e28-831b-f4ae9dd57619,,53ae3090-7e28-49ee-be19-628280be080f
Florida,comunicacio_ok,,estacio_meteorologica1,sensor,a6b23472-5cd4-4e28-831b-f4ae9dd57619,,7c3ffb88-62b2-4bcb-8fed-5d546a97dc8e
Llanillos,energia_exportada,exported_energy,meter,meter,716015b3-3f17-47e9-8c64-b728bfbec467,,04b371c6-351b-4fa6-84b4-d62c8d697eda
Llanillos,energia_importada,,meter,meter,716015b3-3f17-47e9-8c64-b728bfbec467,,8db743ab-e4a7-4fae-81e5-190354fb01be
