ip,port,unit,register_address,device_type,device_id,register_name
"planta-asomada.somenergia.coop",1502,3,28,inverter,34,power_w_highbyte
"planta-asomada.somenergia.coop",1502,3,29,inverter,34,power_w_lowbyte
"planta-asomada.somenergia.coop",1502,3,46,inverter,34,temperature_c_highbyte
"planta-asomada.somenergia.coop",1502,3,47,inverter,34,temperature_c_lowbyte
"planta-asomada.somenergia.coop",1502,3,72,inverter,34,uptime_h_highbyte
"planta-asomada.somenergia.coop",1502,3,73,inverter,34,uptime_h_lowbyte
"planta-asomada.somenergia.coop",1502,3,76,inverter,34,energy_total_wh_highbyte
"planta-asomada.somenergia.coop",1502,3,77,inverter,34,energy_total_wh_lowbyte
"planta-asomada.somenergia.coop",1502,3,80,inverter,34,energy_wh_daily_highbyte
"planta-asomada.somenergia.coop",1502,3,81,inverter,34,energy_wh_daily_lowbyte
"planta-asomada.somenergia.coop",1502,32,56,string,241,stringbox_CB05
"planta-asomada.somenergia.coop",1502,32,57,string,242,stringbox_CB06
"planta-asomada.somenergia.coop",1502,32,58,string,243,stringbox_CB07
"planta-asomada.somenergia.coop",1502,32,59,string,244,stringbox_CB08
"planta-asomada.somenergia.coop",1502,32,60,string,245,stringbox_CB14
"planta-asomada.somenergia.coop",1502,32,61,string,246,stringbox_CB17
"planta-asomada.somenergia.coop",1502,32,62,string,247,stringbox_CB15
"planta-asomada.somenergia.coop",1502,32,63,string,248,stringbox_CB22
"planta-asomada.somenergia.coop",1502,32,64,string,249,stringbox_CB19
"planta-asomada.somenergia.coop",1502,32,65,string,250,stringbox_CB16
"planta-asomada.somenergia.coop",1502,32,66,string,251,stringbox_CB20
"planta-asomada.somenergia.coop",1502,33,55,string,252,stringbox_CB18
"planta-asomada.somenergia.coop",1502,33,56,string,253,stringbox_CB21
"planta-asomada.somenergia.coop",1502,33,57,string,254,stringbox_CB11
"planta-asomada.somenergia.coop",1502,33,58,string,255,stringbox_CB09
"planta-asomada.somenergia.coop",1502,33,59,string,256,stringbox_CB12
"planta-asomada.somenergia.coop",1502,33,60,string,257,stringbox_CB10
"planta-asomada.somenergia.coop",1502,33,61,string,258,stringbox_CB13
"planta-asomada.somenergia.coop",1502,33,62,string,259,stringbox_CB01
"planta-asomada.somenergia.coop",1502,33,63,string,260,stringbox_CB04
"planta-asomada.somenergia.coop",1502,33,64,string,261,stringbox_CB02
"planta-asomada.somenergia.coop",1502,33,65,string,262,stringbox_CB03
