time,plant_id,plant_name,plant_code,inverter_id,inverter_name,inverter_brand,inverter_model,inverter_nominal_power_kw,power_kw,energy_kwh,intensity_cc_a,intensity_ca_a,voltage_cc_v,voltage_ca_v,uptime_h,temperature_c,readings
2022-11-09 15:15:00+01,7,Matallana,SomEnergia_Exiom,31,inversor4,NULL,NULL,NULL,369.23,825.8,NULL,NULL,NULL,NULL,18345.0,42,1.0
2022-11-09 15:15:00+01,7,Matallana,SomEnergia_Exiom,32,inversor1,NULL,NULL,NULL,366.25,821.3,NULL,NULL,NULL,NULL,17878.0,42,1.0
2022-11-09 15:15:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,29,inversor8,NULL,NULL,NULL,24.33,185.5,NULL,NULL,NULL,NULL,16356.0,NULL,1.0
2022-11-09 15:15:00+01,7,Matallana,SomEnergia_Exiom,33,inversor2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-11-09 15:15:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,23,inversor2,NULL,NULL,NULL,22.76,187.37,NULL,NULL,NULL,NULL,16618.0,NULL,1.0
2022-11-09 15:15:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,24,inversor3,NULL,NULL,NULL,22.52,185.13,NULL,NULL,NULL,NULL,16625.0,NULL,1.0
2022-11-09 15:15:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,25,inversor4,NULL,NULL,NULL,22.83,191.01,NULL,NULL,NULL,NULL,15786.0,NULL,1.0
2022-11-09 15:15:00+01,1,Alcolea,SomEnergia_Alcolea,18,inversor3,NULL,NULL,NULL,276.76,719.6,NULL,NULL,NULL,NULL,28211.0,42,1.0
2022-11-09 15:15:00+01,1,Alcolea,SomEnergia_Alcolea,19,inversor4,NULL,NULL,NULL,177.36,678.3,NULL,NULL,NULL,NULL,28259.0,42,1.0
2022-11-09 03:15:00+01,6,Florida,SomEnergia_La_Florida,20,inversor1,NULL,NULL,NULL,0.0,4132417.4,NULL,NULL,NULL,NULL,13380.0,60,1.0
2022-11-09 15:15:00+01,7,Matallana,SomEnergia_Exiom,30,inversor3,NULL,NULL,NULL,373.72,827.0,NULL,NULL,NULL,NULL,18379.0,42,1.0
